cluster_label,cluster,severity_rank,n_patients_test,observed_mortality_test,mean_predicted_probability,top_explanatory_features
cluster_0,0,1,1502,0.2769640479360852,0.5412532091140747,"apsiii (0.7705), admission_age (0.3603), gcs_motor (0.2783), bun_min (0.2445), gcs_eyes (0.2388)"
cluster_4,4,2,1722,0.16202090592334495,0.4208092987537384,"apsiii (0.7110), admission_age (0.3812), gcs_motor (0.2761), gcs_eyes (0.2622), glucose_min (0.1975)"
cluster_2,2,3,1764,0.0963718820861678,0.3336794078350067,"apsiii (0.6637), admission_age (0.4294), gcs_motor (0.2387), gcs_eyes (0.2320), bun_min (0.1901)"
cluster_1,1,4,880,0.07727272727272727,0.2574419677257538,"apsiii (0.7515), admission_age (0.3252), gcs_motor (0.2341), bun_min (0.2112), admission_type_2 (0.2026)"
cluster_3,3,5,4831,0.03167046160215276,0.10798075795173645,"apsiii (1.0904), admission_age (0.4484), gcs_verbal (0.3227), gcs_motor (0.2784), gcs_eyes (0.2320)"
