cluster,cluster_label,severity_rank,variable,dominant_category,global_mode,dominant_share_delta,uncertainty,confidence
0,cluster_0,1,admission_location,0,0,0.035234287718287904,0.5542876067820045,low
0,cluster_0,1,admission_type,0,0,0.07630419779973041,0.5799213885329754,low
0,cluster_0,1,ethnicity,0,0,-0.10406986670416796,0.7131263566769118,low
0,cluster_0,1,gcs_unable,0,0,-0.010234707225653228,0.46971725657004715,medium
0,cluster_0,1,gender,0,0,0.028183598185572922,0.9781697988538126,low
0,cluster_0,1,marital_status,0,0,-0.0648057582957397,0.8810134551850317,low
4,cluster_4,2,admission_location,2,0,-0.1420795168329384,0.5982901843573347,low
4,cluster_4,2,admission_type,0,0,-0.12568271811607273,0.7492521571705887,low
4,cluster_4,2,ethnicity,0,0,-0.03111555277807665,0.628241367029295,low
4,cluster_4,2,gcs_unable,0,0,0.07062915878513243,0.13785411520179067,high
4,cluster_4,2,gender,0,0,-0.003948019543846604,0.9913716026778712,low
4,cluster_4,2,marital_status,0,0,-0.016786789057944673,0.8805735231395376,low
2,cluster_2,3,admission_location,0,0,0.5306114818761334,0.0,high
2,cluster_2,3,admission_type,0,0,0.49584057727179254,0.0,high
2,cluster_2,3,ethnicity,0,0,0.059861500120336975,0.5442334856432558,low
2,cluster_2,3,gcs_unable,0,0,0.07400749275347307,0.118264372951255,high
2,cluster_2,3,gender,0,0,-0.018219770670976243,0.99529525506778,low
2,cluster_2,3,marital_status,0,0,-0.0589226315268816,0.8713809063525157,low
1,cluster_1,4,admission_location,2,0,0.08762707207657877,0.4181431024531876,medium
1,cluster_1,4,admission_type,1,0,0.012544363463329322,0.6194354506437545,low
1,cluster_1,4,ethnicity,0,0,0.032108882385252335,0.537834982931119,low
1,cluster_1,4,gcs_unable,0,0,0.03899085603565644,0.2906391871023293,medium
1,cluster_1,4,gender,0,0,0.006455649734908975,0.9877620495162436,low
1,cluster_1,4,marital_status,0,0,0.03458201574737191,0.8437359547730094,low
3,cluster_3,5,admission_location,0,0,-0.06493044719247787,0.5640403734300797,low
3,cluster_3,5,admission_type,0,0,-0.06854457354027244,0.7149448887112774,low
3,cluster_3,5,ethnicity,0,0,0.015159531527861425,0.6011633048875132,low
3,cluster_3,5,gcs_unable,0,0,-0.056261474300309144,0.6003874153099873,low
3,cluster_3,5,gender,0,0,-0.0018160740456278912,0.9906835225201794,low
3,cluster_3,5,marital_status,0,0,0.041217355355959606,0.8033758404861865,low
